Country,Product,Year,EU_member,Export quantity,Export value,Import quantity,Import value,trade_balance,trade_ratio,is_ireland
Australia,"Almonds, in shell",2019,0,4.681870959997962,5.391282756591302,2.704545150653326,3.407900540142635,5.3867485908293835,1.9878695328488385,0
Australia,"Almonds, in shell",2020,0,4.4935153489912025,5.0362655007425445,2.1124038927178743,2.7944880466591697,5.0337734629840885,2.2442552737541472,0
Australia,"Almonds, in shell",2021,0,4.708849968235502,5.296447988715667,1.5883837683787276,2.060697840353612,5.296197743207555,3.2360002497588427,0
Australia,"Almonds, in shell",2022,0,4.69744338497615,5.298615131345799,1.506234359612126,2.0569048513364727,5.298368316644246,3.2419569545228257,0
Australia,"Almonds, in shell",2023,0,4.592845233882824,5.151136856350605,3.144103856464894,3.616265405281708,5.138277429388599,1.5473610361133772,0
Australia,"Almonds, in shell",2024,0,4.9020852797566885,5.477928292143651,2.783481937580714,3.3881012015705165,5.474383828610073,2.0933428602445447,0
Australia,"Almonds, shelled",2019,0,4.630958976067007,5.463452501511519,3.4448267589126282,4.280100110054924,5.434004913159027,1.2109294316591728,0
Australia,"Almonds, shelled",2020,0,4.716264760330195,5.420625663325892,3.386942842645968,4.250078287979645,5.390265495181802,1.1989231282511854,0
Australia,"Almonds, shelled",2021,0,4.7098909311521435,5.407637303052602,3.3050524203756897,4.170379076423075,5.381732225018076,1.2617046976997106,0
Australia,"Almonds, shelled",2022,0,4.814423742352545,5.507355200437603,3.2218522239583143,4.011570443597278,5.493262818588258,1.509434191783363,0
Australia,"Almonds, shelled",2023,0,4.917630475956905,5.509452539434119,3.2131138214298756,3.9561203863930197,5.4971342991570715,1.5653106164697168,0
Australia,"Almonds, shelled",2024,0,4.949914113058132,5.633782448053832,3.5036694993524318,4.144574207609616,5.619471086008081,1.5030630046604976,0
Australia,Animal oils and fats n.e.c.,2019,0,2.9495900288203982,3.4471580313422194,1.8298824464434933,3.6251065754034677,-3.151982395457474,0.22104490112534786,0
Australia,Animal oils and fats n.e.c.,2020,0,2.9233424751917823,3.300812794118117,1.8276922886744456,3.634275694625944,-3.3636119798921444,0.1654782717859419,0
Australia,Animal oils and fats n.e.c.,2021,0,2.9843157401518425,3.5098742850047193,2.006979190574277,3.8774865280696016,-3.634275694625944,0.1549710546453278,0
Australia,Animal oils and fats n.e.c.,2022,0,3.4130062226831868,3.8898617212581885,1.9322707758994904,3.8309733973226505,2.9934362304976116,0.331441638783796,0
Australia,Animal oils and fats n.e.c.,2023,0,2.2269605935324526,3.5114822886260013,1.8596185787721804,3.73471984165568,-3.339053735709139,0.2035496418072315,0
Australia,Animal oils and fats n.e.c.,2024,0,2.677771150682378,3.4127964287165433,1.6429588794097907,3.428134794028789,-1.9731278535996986,0.2933460607412605,0
Australia,"Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils",2019,0,4.168867095243746,4.010257542998302,3.2370156287451617,3.5100085129402347,3.8453461374114086,0.6194880300764247,0
Australia,"Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils",2020,0,3.8709449729393084,3.782329268996837,3.3970722906151667,3.642958879409791,3.2211533219547053,0.37624052164549726,0
Australia,"Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils",2021,0,4.548228447492585,4.450972329938457,3.41460069710167,3.730862992046494,4.359209191764298,0.79582513183782,0
Australia,"Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils",2022,0,4.243377906210961,4.455560475037095,3.436041727715583,3.8230175234460493,4.340344949528144,0.7235128019454063,0
Australia,"Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils",2023,0,4.65412299806035,4.755356440683268,3.473805092840722,3.8709303583486956,4.694640292019273,0.9376856770782961,0
Australia,"Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils",2024,0,4.807207018663146,4.748001860904084,3.6534353944082514,4.046221937221636,4.651801178717148,0.7804876380604889,0
Australia,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2019,0,2.172486169686935,2.606381365110605,3.424483078416316,3.8963608454693164,-3.873553093513619,0.021669491315563772,0
Australia,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2020,0,1.813714391881145,2.5774917998372255,3.515806310965622,3.9590413923210934,-3.940665872475829,0.01762948830371777,0
Australia,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2021,0,1.8245163280072092,2.60959440922522,3.528828033477773,4.076895193866051,-4.061866972138563,0.014525535126000617,0
Australia,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2022,0,2.223340158878377,2.7041505168397992,3.502936229768477,4.096771016533225,-4.078855402979768,0.017205741756621335,0
Australia,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2023,0,2.1256113718974636,2.7218106152125467,3.463795970791638,4.112269768417271,-4.094261442720502,0.017291233891812006,0
Australia,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2024,0,2.111094410509336,2.711807229041191,3.59414936579828,4.218036331200945,-4.204309944940537,0.013305806702951277,0
Australia,Apple juice,2019,0,3.24212134093828,3.2776092143040914,3.3061032087275857,3.496376054012401,-3.0941215958405612,0.20519193104352654,0
Australia,Apple juice,2020,0,3.240534272352603,3.2617385473525378,3.320839772118777,3.505014240084107,-3.137670537236755,0.1961218260084194,0
Australia,Apple juice,2021,0,3.19984290465139,3.273695587930092,3.414716035796945,3.6306312440205,-3.379305517750582,0.1581732490241483,0
Australia,Apple juice,2022,0,3.254840408484857,3.307709923404807,3.39608247301644,3.624488362513449,-3.338854746252323,0.17083540181586498,0
Australia,Apple juice,2023,0,3.248034603058738,3.4310419453358856,2.8394717623145103,3.037027879755775,3.2068258760318495,0.5411527298720029,0
Australia,Apple juice,2024,0,3.340003647830598,3.3119656603683665,2.4732679428352964,2.606381365110605,3.216957207361097,0.7834931932803805,0
Australia,"Apple juice, concentrated",2019,0,3.0947715020195794,3.253580289562183,4.35268812849502,4.495377802944074,-4.46976312459806,0.024187697936434792,0
Australia,"Apple juice, concentrated",2020,0,2.415290601109983,2.7234556720351857,4.333131364056388,4.460747541844197,-4.452736852686558,0.007865601785624923,0
Australia,"Apple juice, concentrated",2021,0,2.4218834961921063,2.7958800173440754,4.303954653611496,4.440625754133953,-4.430687668976669,0.009715747437942962,0
Australia,"Apple juice, concentrated",2022,0,2.7955393969296067,3.0269416279590295,4.299370647680671,4.498792835329339,-4.48390095965289,0.014398120088025847,0
Australia,"Apple juice, concentrated",2023,0,2.6408192006122317,3.226084115975824,4.323970103792449,4.6173568617094,-4.599358983737476,0.017281601542874146,0
Australia,"Apple juice, concentrated",2024,0,2.7737571985767984,3.04883008652835,4.362293183652708,4.645097901234998,-4.633963067531229,0.010856470843780284,0
Australia,Apples,2019,0,3.6077905335164813,3.8092903011763157,2.762678563727436,3.0064660422492318,3.7349597612724454,0.8662727852234371,0
Australia,Apples,2020,0,3.332660600270635,3.6036855496146996,3.185975383290552,3.4310419453358856,3.119915410257991,0.39581000248475834,0
Australia,Apples,2021,0,3.4256303936868067,3.696967640744023,3.0993525523814474,3.4929000111087034,3.2711443179490782,0.4148874320019128,0
Australia,Apples,2022,0,3.433720243141769,3.6617180576946593,2.913321019360706,3.2612628687924934,3.441695135640717,0.5457983711247456,0
Australia,Apples,2023,0,3.340436182448372,3.690373306916059,3.027080384102412,3.3199384399803087,3.449324093098727,0.5245387357653728,0
Australia,Apples,2024,0,3.3301417467685432,3.6504046698680317,3.016552844116218,3.346744054604849,3.3521825181113627,0.4788118776855081,0
Australia,Apricots,2019,0,2.7930985935901904,3.269746373130767,2.4894240669254093,3.0718820073061255,2.833784374656479,0.4109915763026284,0
Australia,Apricots,2020,0,2.8943769925848764,3.4387005329007363,2.6931991451537174,3.334051440346892,2.7701152947871015,0.35641045289928636,0
Australia,Apricots,2021,0,2.458683164346481,3.1781132523146316,2.053731315887607,2.761927838420529,2.9684829485539352,0.5569698762069578,0
Australia,Apricots,2022,0,2.217220655644519,2.7363965022766426,2.367299999681404,3.0136796972911926,-2.6884198220027105,0.18387651586234396,0
Australia,Apricots,2023,0,2.3831508538961748,3.0281644194244697,1.2201080880400552,1.919078092376074,2.9934362304976116,1.1412419363122113,0
Australia,Apricots,2024,0,2.577801899444762,3.2062860444124324,2.0569048513364727,2.7730546933642626,3.0068937079479006,0.5693679874579437,0
Australia,"Apricots, dried",2019,0,1.884455496070488,2.5899496013257077,3.591047903071348,4.05556944006099,-4.04048366420627,0.014579296091315953,0
Australia,"Apricots, dried",2020,0,1.2835273648616936,1.8260748027008264,3.670569597278909,4.173419384081802,-4.171492427252901,0.0019184447102181374,0
Australia,"Apricots, dried",2021,0,1.5157414166693652,2.0755469613925306,3.4946429006895534,4.11048869983667,-4.106496870138972,0.003955472608585148,0
Australia,"Apricots, dried",2022,0,1.1014033505553307,1.9084850188786497,3.518273037045053,4.253265293690157,-4.251321812315588,0.0019348229669600631,0
Australia,"Apricots, dried",2023,0,1.17376882313665,1.8129133566428555,3.5195891317390293,4.283007075553755,-4.281556025034367,0.0014462184570976653,0
Australia,"Apricots, dried",2024,0,1.5039268041935103,2.322219294733919,3.5308986186544504,4.266701966884088,-4.2617623176096195,0.004884097143182737,0
Australia,Areca nuts,2019,0,0.0,0.0,0.6106601630898799,0.9542425094393249,-0.9542425094393249,0.0,0
Australia,Areca nuts,2020,0,0.0,0.0,0.7234556720351858,1.2041199826559248,-1.2041199826559248,0.0,0
Australia,Areca nuts,2021,0,0.0,0.0,0.9196010237841109,1.6232492903979006,-1.6232492903979006,0.0,0
Australia,Areca nuts,2022,0,0.0,0.0,1.2787536009528289,2.346352974450639,-2.346352974450639,0.0,0
Australia,Areca nuts,2023,0,0.07918124604762482,0.47712125471966244,1.3271545124094315,2.2278867046136734,-2.2227164711475833,0.005109405778480324,0
Australia,Areca nuts,2024,0,0.0,0.0,1.5928426831311002,2.1072099696478683,-2.1072099696478683,0.0,0
Australia,Artichokes,2019,0,0.9982593384236987,1.568201724066995,0.25527250510330607,0.6020599913279624,1.5314789170422551,1.0,0
Australia,Artichokes,2020,0,0.9763499790032735,1.5185139398778875,0.5751878449276611,1.0791812460476249,1.3424226808222062,0.5642714304385625,0
Australia,Artichokes,2021,0,1.04296907339318,1.6901960800285136,0.0,0.0,1.6901960800285136,1.6901960800285136,0
Australia,Artichokes,2022,0,0.9143431571194408,1.5563025007672873,0.0,0.0,1.5563025007672873,1.5563025007672873,0
Australia,Artichokes,2023,0,1.0599418880619547,1.6812412373755872,0.0,0.0,1.6812412373755872,1.6812412373755872,0
Australia,Artichokes,2024,0,1.0257153839013406,1.7403626894942439,0.0,0.0,1.7403626894942439,1.7403626894942439,0
Australia,Asparagus,2019,0,3.4937883516582504,4.24398006574108,3.605356770443275,4.4193277969967575,-3.9407654356312176,0.2221363979950204,0
Australia,Asparagus,2020,0,3.273448075934814,4.131073048034346,3.432091803216499,4.288450448275636,-3.771366970857781,0.22941815086355266,0
Australia,Asparagus,2021,0,3.074501938535186,3.8758133888397577,3.4851675608780126,4.294422133112984,-4.085861173788451,0.14030640866677394,0
Australia,Asparagus,2022,0,3.0117649233778665,3.8720979742742268,3.4491944336017486,4.2855348061200305,-4.073754998123192,0.14174027158263516,0
Australia,Asparagus,2023,0,3.0478665069075404,3.831805808674391,3.274732677857411,4.178113252314632,-3.9181352261663593,0.16149716931092775,0
Australia,Asparagus,2024,0,3.156500691782311,3.863679667875898,3.2869098394624436,4.163221026715578,-3.8607571230815423,0.17656817823267199,0
Australia,Asses,2019,0,0.0,0.0,1.0,1.9294189257142926,-1.9294189257142926,0.0,0
Australia,Asses,2021,0,0.9542425094393249,0.8450980400142568,1.0413926851582251,1.724275869600789,-1.6720978579357175,0.046576142041355136,0
Australia,Asses,2022,0,0.0,0.0,0.6020599913279624,1.2304489213782739,-1.2304489213782739,0.0,0
Australia,Asses,2023,0,0.0,0.0,1.0791812460476249,1.5563025007672873,-1.5563025007672873,0.0,0
Australia,Asses,2024,0,1.0791812460476249,1.6901960800285136,0.3010299956639812,0.9542425094393249,1.6127838567197355,0.8016323462331665,0
Australia,Avocados,2019,0,3.631405208445476,4.2326149831347815,4.176728046749726,4.7280858167916255,-4.560898506429743,0.1204173570946878,0
Australia,Avocados,2020,0,3.361988334564983,4.120804177840798,4.39250666597936,5.051434239919407,-4.997242178185673,0.048173897649077334,0
Australia,Avocados,2021,0,3.908274254496009,4.457245878340744,4.224728800617361,4.826146098927429,-4.583810663913107,0.15462059592948543,0
Australia,Avocados,2022,0,4.040480103427951,4.582427017512738,4.145533265573136,4.63630732069591,-3.7033773685123497,0.27491955648617455,0
Australia,Avocados,2023,0,4.2207739316004815,4.708964490263606,3.6652422405635843,4.2157697084176435,4.540704783310762,0.614164138384747,0
Australia,Avocados,2024,0,4.231269983193856,4.76643515618744,4.0243522391643225,4.537768739170626,4.378543247161644,0.4302376250026321,0
Australia,"Balata, gutta-percha, guayule, chicle and similar natural gums in primary forms or in plates, sheets or strip",2019,0,0.00860017176191757,0.47712125471966244,0.0,0.0,0.47712125471966244,0.47712125471966244,0
